symbol,timestamp,open,high,low,close,volume,trade_count,vwap
DOGE/USD,2024-03-22 05:00:00+00:00,0.15609,0.165,0.14530219,0.1604415,192789.619818872,72.0,0.1577766146
DOGE/USD,2024-03-23 05:00:00+00:00,0.160635,0.174845,0.15931,0.170115,487006.572243971,63.0,0.1665662782
DOGE/USD,2024-03-24 05:00:00+00:00,0.17013,0.1797465,0.1686,0.174445,514276.629120248,57.0,0.1714953586
DOGE/USD,2024-03-25 05:00:00+00:00,0.174245,0.186705,0.1699355,0.179612,114565.504450528,104.0,0.1805727837
DOGE/USD,2024-03-26 05:00:00+00:00,0.179662,0.1868808815,0.1744325,0.1844215,244645.760441053,75.0,0.1778760646
DOGE/USD,2024-03-27 05:00:00+00:00,0.1846855,0.205665,0.1788000245,0.197184,207554.662440645,115.0,0.1910072735
DOGE/USD,2024-03-28 05:00:00+00:00,0.197195,0.2288675,0.1952742205,0.213585,588147.059887108,181.0,0.2124692056
DOGE/USD,2024-03-29 05:00:00+00:00,0.213285,0.21845,0.208437862,0.21272,40522.115083022,55.0,0.2128499111
DOGE/USD,2024-03-30 05:00:00+00:00,0.2124875,0.214499609,0.1967622825,0.204205,403505.580570056,71.0,0.2051624396
DOGE/USD,2024-03-31 05:00:00+00:00,0.203907,0.224279,0.203529,0.2154055,393893.321687114,48.0,0.2111942942
DOGE/USD,2024-04-01 05:00:00+00:00,0.215385,0.2172,0.1864115,0.188615,593281.015266782,99.0,0.2034806326
DOGE/USD,2024-04-02 05:00:00+00:00,0.1886475,0.1918050185,0.171565283,0.186694,663330.376206899,120.0,0.1851813118
DOGE/USD,2024-04-03 05:00:00+00:00,0.1867925,0.18784,0.1702685,0.17515,283178.457901635,83.0,0.1783674762
DOGE/USD,2024-04-04 05:00:00+00:00,0.1751385,0.188237049,0.173695,0.17415,171850.220340175,49.0,0.1824003083
DOGE/USD,2024-04-05 05:00:00+00:00,0.1742095,0.185156,0.1677396225,0.1838375,183913.592944605,55.0,0.1724315432
DOGE/USD,2024-04-06 05:00:00+00:00,0.184042,0.2019125,0.179716,0.2002,305080.600172616,46.0,0.1882228228
DOGE/USD,2024-04-07 05:00:00+00:00,0.2004495,0.2084440175,0.192635,0.201035,1422937.48209733,168.0,0.1998773936
DOGE/USD,2024-04-08 05:00:00+00:00,0.201065,0.2112934505,0.1952,0.197905,3567433.967619859,466.0,0.2012487471
DOGE/USD,2024-04-09 05:00:00+00:00,0.197623,0.2036647355,0.18525,0.1909585,5325915.754293277,306.0,0.190547213
DOGE/USD,2024-04-10 05:00:00+00:00,0.190947,0.2021055,0.18022,0.19657,25466458.984567855,1121.0,0.1897097094
DOGE/USD,2024-04-11 05:00:00+00:00,0.1966,0.203565,0.1897905,0.199815,308002.256888151,46.0,0.1957434401
DOGE/USD,2024-04-12 05:00:00+00:00,0.19964,0.201235,0.16075,0.173915,249760.384047399,145.0,0.1770722817
DOGE/USD,2024-04-13 05:00:00+00:00,0.1739345,0.174905,0.130329215,0.154745,228252.280818961,199.0,0.1495232981
DOGE/USD,2024-04-14 05:00:00+00:00,0.154745,0.164980636,0.145715,0.158371862,103643.348619771,77.0,0.1544110003
DOGE/USD,2024-04-15 05:00:00+00:00,0.158443724,0.171633621,0.150495,0.152993,164190.350700267,122.0,0.1593401483
DOGE/USD,2024-04-16 05:00:00+00:00,0.1528165,0.159045,0.14639,0.158107,187155.055192424,74.0,0.1536460145
DOGE/USD,2024-04-17 05:00:00+00:00,0.1578945,0.158712,0.14425,0.148455,266748.59087994,88.0,0.1529350356
DOGE/USD,2024-04-18 05:00:00+00:00,0.148485,0.153965,0.139048908,0.1488,181795.552825025,97.0,0.1478820525
